date,group,title,id,percent,target_date,phase
2026-05-06,Custom Apps,Manual Sales Reporting,manual-sales-reporting,70,,4
2026-05-20,Reporting,SSRS Reports transition to Power BI,ssrs-reports-transition-to-power-bi,0,,0
2026-05-20,Reporting,Tableau dashboards migration to Power BI,tableau-dashboards-migration-to-power-bi,0,,0
2026-05-06,Data Integration,Weekly Sales Aggregation,weekly-sales-aggregation,10,,2
2026-05-06,CRM Processes,Organization Hierarchy tracking,organization-hierarchy-tracking,40,6/30/2026,3
2026-05-13,Custom Apps,Manual Sales Reporting,manual-sales-reporting,80,,5
2026-05-20,Reporting,SSRS Reports transition to Power BI,ssrs-reports-transition-to-power-bi,0,,0
2026-05-20,Reporting,Tableau dashboards migration to Power BI,tableau-dashboards-migration-to-power-bi,0,,0
2026-05-13,Data Integration,Weekly Sales Aggregation,weekly-sales-aggregation,10,,2
2026-05-13,CRM Processes,Organization Hierarchy tracking,organization-hierarchy-tracking,45,6/30/2026,2
2026-05-20,Custom Apps,Manual Sales Reporting,manual-sales-reporting,90,,5
2026-05-20,Reporting,SSRS Reports transition to Power BI,ssrs-reports-transition-to-power-bi,25,,3
2026-05-20,Reporting,Tableau dashboards migration to Power BI,tableau-dashboards-migration-to-power-bi,20,,3
2026-05-20,Data Integration,Weekly Sales Aggregation,weekly-sales-aggregation,10,,2
2026-05-20,CRM Processes,Organization Hierarchy tracking,organization-hierarchy-tracking,45,6/30/2026,2
