date,group,title,id,percent,target_date,target_start_date,target_completion_date,phase,effort,impact,priority_total
2026-05-06,CRM Processes,Organization Hierarchy tracking,organization-hierarchy-tracking,40,2026-08-21,2026-06-15,2026-08-21,3,2,2.5,4.5
2026-05-06,Custom Apps,Manual Sales Reporting,manual-sales-reporting,70,2026-08-21,2026-08-03,2026-08-21,5,2,1.5,3.5
2026-05-06,Data Integration,Weekly Sales Aggregation,weekly-sales-aggregation,10,2026-09-11,2026-07-27,2026-09-11,2,2,2,4
2026-05-06,Reporting,SSRS Reports transition to Power BI,ssrs-reports-transition-to-power-bi,0,2026-07-31,2026-06-15,2026-07-31,3,2,2,4
2026-05-06,Reporting,Tableau dashboards migration to Power BI,tableau-dashboards-migration-to-power-bi,0,2026-10-16,2026-08-03,2026-10-16,3,2,2,4
2026-05-13,CRM Processes,Organization Hierarchy tracking,organization-hierarchy-tracking,45,2026-08-21,2026-06-15,2026-08-21,3,2,2.5,4.5
2026-05-13,Custom Apps,Manual Sales Reporting,manual-sales-reporting,80,2026-08-21,2026-08-03,2026-08-21,5,2,1.5,3.5
2026-05-13,Data Integration,Weekly Sales Aggregation,weekly-sales-aggregation,10,2026-09-11,2026-07-27,2026-09-11,2,2,2,4
2026-05-13,Reporting,SSRS Reports transition to Power BI,ssrs-reports-transition-to-power-bi,0,2026-07-31,2026-06-15,2026-07-31,3,2,2,4
2026-05-13,Reporting,Tableau dashboards migration to Power BI,tableau-dashboards-migration-to-power-bi,0,2026-10-16,2026-08-03,2026-10-16,3,2,2,4
2026-05-20,CRM Processes,Organization Hierarchy tracking,organization-hierarchy-tracking,45,2026-08-21,2026-06-15,2026-08-21,3,2,2.5,4.5
2026-05-20,Custom Apps,Manual Sales Reporting,manual-sales-reporting,90,2026-08-21,2026-08-03,2026-08-21,5,2,1.5,3.5
2026-05-20,Data Integration,Weekly Sales Aggregation,weekly-sales-aggregation,10,2026-09-11,2026-07-27,2026-09-11,2,2,2,4
2026-05-20,Reporting,SSRS Reports transition to Power BI,ssrs-reports-transition-to-power-bi,25,2026-07-31,2026-06-15,2026-07-31,3,2,2,4
2026-05-20,Reporting,Tableau dashboards migration to Power BI,tableau-dashboards-migration-to-power-bi,20,2026-10-16,2026-08-03,2026-10-16,3,2,2,4
